date,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-11-01,US,United States of America,AMRO,99242,9018745,1042,232295
2020-11-02,US,United States of America,AMRO,87919,9106664,824,233119
2020-11-03,US,United States of America,AMRO,137913,9244577,512,233631
2020-11-04,US,United States of America,AMRO,91368,9335945,664,234295
2020-11-05,US,United States of America,AMRO,96301,9432246,1136,235431
2020-11-06,US,United States of America,AMRO,110818,9543064,1172,236603
2020-11-07,US,United States of America,AMRO,122899,9665963,1159,237762
2020-11-08,US,United States of America,AMRO,133346,9799309,1221,238983
2020-11-09,US,United States of America,AMRO,129150,9928459,1086,240069
2020-11-10,US,United States of America,AMRO,105550,10034009,615,240684
2020-11-11,US,United States of America,AMRO,128515,10162524,866,241550
2020-11-12,US,United States of America,AMRO,144244,10306768,1874,243424
2020-11-13,US,United States of America,AMRO,151353,10458121,1000,244424
2020-11-14,US,United States of America,AMRO,160338,10618459,1707,246131
2020-11-15,US,United States of America,AMRO,179536,10797995,1313,247444
2020-11-16,US,United States of America,AMRO,161174,10959169,1322,248766
2020-11-17,US,United States of America,AMRO,139878,11099047,798,249564
2020-11-18,US,United States of America,AMRO,158847,11257894,943,250507
2020-11-19,US,United States of America,AMRO,165487,11423381,1612,252119
2020-11-20,US,United States of America,AMRO,168357,11591738,1789,253908
2020-11-21,US,United States of America,AMRO,188087,11779825,1947,255855
2020-11-22,US,United States of America,AMRO,196984,11976809,1888,257743
2020-11-23,US,United States of America,AMRO,176061,12152870,1477,259220
2020-11-24,US,United States of America,AMRO,149442,12302312,1061,260281
2020-11-25,US,United States of America,AMRO,164455,12466767,1258,261539
2020-11-26,US,United States of America,AMRO,174690,12641457,2089,263628
2020-11-27,US,United States of America,AMRO,188981,12830438,2246,265874
2020-11-28,US,United States of America,AMRO,147728,12978166,1441,267315
2020-11-29,US,United States of America,AMRO,176261,13154427,1525,268840
2020-11-30,US,United States of America,AMRO,147682,13302109,1401,270241
2020-12-01,US,United States of America,AMRO,135420,13437529,994,271235
2020-12-02,US,United States of America,AMRO,160365,13597894,1491,272726
2020-12-03,US,United States of America,AMRO,189757,13787651,2534,275260
2020-12-04,US,United States of America,AMRO,205815,13993466,2734,277994
2020-12-05,US,United States of America,AMRO,222840,14216306,2844,280838
2020-12-06,US,United States of America,AMRO,224358,14440664,2440,283278
2020-12-07,US,United States of America,AMRO,208854,14649518,2341,285619
2020-12-08,US,United States of America,AMRO,173874,14823392,1316,286935
2020-12-09,US,United States of America,AMRO,194996,15018388,1841,288776
2020-12-10,US,United States of America,AMRO,227096,15245484,2668,291444
2020-12-11,US,United States of America,AMRO,217561,15463045,3187,294631
2020-12-12,US,United States of America,AMRO,209909,15672954,2838,297469
2020-12-13,US,United States of America,AMRO,250135,15923089,3024,300493
2020-12-14,US,United States of America,AMRO,217251,16140340,2396,302889
2020-12-15,US,United States of America,AMRO,180769,16321109,1649,304538
2020-12-16,US,United States of America,AMRO,202385,16523494,1908,306446
2020-12-17,US,United States of America,AMRO,200935,16724429,2968,309414
2020-12-18,US,United States of America,AMRO,243962,16968391,3420,312834
2020-12-19,US,United States of America,AMRO,246505,17214896,3446,316280
2020-12-20,US,United States of America,AMRO,237330,17452226,2754,319034
2020-12-21,US,United States of America,AMRO,198918,17651144,2584,321618
2020-12-22,US,United States of America,AMRO,192411,17843555,1803,323421
2020-12-23,US,United States of America,AMRO,187349,18030904,1937,325358
2020-12-24,US,United States of America,AMRO,200442,18231346,3244,328602
2020-12-25,US,United States of America,AMRO,232439,18463785,3348,331950
2020-12-26,US,United States of America,AMRO,196598,18660383,2820,334770
2020-12-27,US,United States of America,AMRO,133256,18793639,1768,336538
2020-12-28,US,United States of America,AMRO,183182,18976821,1598,338136
2020-12-29,US,United States of America,AMRO,148496,19125317,1702,339838
2020-12-30,US,United States of America,AMRO,179388,19304705,2017,341855
2020-12-31,US,United States of America,AMRO,208626,19513331,3543,345398
2021-01-01,US,United States of America,AMRO,237337,19750668,3726,349124
2021-01-02,US,United States of America,AMRO,230749,19981417,3277,352401
2021-01-03,US,United States of America,AMRO,172805,20154222,2581,354982
2021-01-04,US,United States of America,AMRO,280226,20434448,2578,357560
2021-01-05,US,United States of America,AMRO,207617,20642065,1744,359304
2021-01-06,US,United States of America,AMRO,182342,20824407,2129,361433
2021-01-07,US,United States of America,AMRO,234989,21059396,3713,365146
2021-01-08,US,United States of America,AMRO,249893,21309289,3772,368918
2021-01-09,US,United States of America,AMRO,278047,21587336,4125,373043
2021-01-10,US,United States of America,AMRO,312247,21899583,3601,376644
2021-01-11,US,United States of America,AMRO,242706,22142289,3427,380071
2021-01-12,US,United States of America,AMRO,217568,22359857,2340,382411
2021-01-13,US,United States of America,AMRO,202149,22562006,2320,384731
2021-01-14,US,United States of America,AMRO,222108,22784114,4048,388779
2021-01-15,US,United States of America,AMRO,224827,23008941,4004,392783
2021-01-16,US,United States of America,AMRO,224744,23233685,3773,396556
2021-01-17,US,United States of America,AMRO,245914,23479599,3552,400108
2021-01-18,US,United States of America,AMRO,212299,23691898,3499,403607
2021-01-19,US,United States of America,AMRO,183737,23875635,2136,405743
2021-01-20,US,United States of America,AMRO,152372,24028007,2030,407773
2021-01-21,US,United States of America,AMRO,149551,24177558,2384,410157
2021-01-22,US,United States of America,AMRO,188128,24365686,4180,414337
2021-01-23,US,United States of America,AMRO,188609,24554295,3902,418239
2021-01-24,US,United States of America,AMRO,189131,24743426,3776,422015
2021-01-25,US,United States of America,AMRO,168956,24912382,3190,425205
2021-01-26,US,United States of America,AMRO,139791,25052173,2144,427349
2021-01-27,US,United States of America,AMRO,134873,25187046,2233,429582
2021-01-28,US,United States of America,AMRO,149329,25336375,3592,433174
2021-01-29,US,United States of America,AMRO,155950,25492325,3698,436872
2021-01-30,US,United States of America,AMRO,156221,25648546,3546,440418
2021-01-31,US,United States of America,AMRO,148456,25797002,3273,443691
2021-02-01,US,United States of America,AMRO,156826,25953828,2828,446519
2021-02-02,US,United States of America,AMRO,109424,26063252,2009,448528
2021-02-03,US,United States of America,AMRO,126530,26189782,1902,450430
2021-02-04,US,United States of America,AMRO,119657,26309439,3169,453599
2021-02-05,US,United States of America,AMRO,118677,26428116,3320,456919
2021-02-06,US,United States of America,AMRO,124853,26552969,4827,461746
2021-02-07,US,United States of America,AMRO,127221,26680190,3345,465091
2021-02-08,US,United States of America,AMRO,107773,26787963,2678,467769
2021-02-09,US,United States of America,AMRO,90525,26878488,1536,469305
2021-02-10,US,United States of America,AMRO,82328,26960816,1590,470895
2021-02-11,US,United States of America,AMRO,91671,27052487,2672,473567
2021-02-12,US,United States of America,AMRO,96084,27148571,3162,476729
2021-02-13,US,United States of America,AMRO,100571,27249142,3185,479914
2021-02-14,US,United States of America,AMRO,97779,27346921,5156,485070
2021-02-15,US,United States of America,AMRO,87963,27434884,3172,488242
2021-02-16,US,United States of America,AMRO,65813,27500697,1334,489576
2021-02-17,US,United States of America,AMRO,55128,27555825,1261,490837
2021-02-18,US,United States of America,AMRO,56692,27612517,1500,492337
2021-02-19,US,United States of America,AMRO,70074,27682591,2577,494914
2021-02-20,US,United States of America,AMRO,67806,27750397,2397,497311
2021-02-21,US,United States of America,AMRO,72906,27823303,2410,499721
2021-02-22,US,United States of America,AMRO,69631,27892934,2004,501725
2021-02-23,US,United States of America,AMRO,53992,27946926,1300,503025
2021-02-24,US,United States of America,AMRO,55864,28002790,1640,504665
2021-02-25,US,United States of America,AMRO,69267,28072057,1925,506590
2021-02-26,US,United States of America,AMRO,75437,28147494,2099,508689
2021-02-27,US,United States of America,AMRO,73453,28220947,2966,511655
2021-02-28,US,United States of America,AMRO,72996,28293943,1868,513523
